,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,audio_features,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/tracks/3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/audio-analysis/3cBsEDNhFI9E82vPj3kvi3,178520,3
1,0.645,0.534,6,-10.8,0,0.0479,0.157,0.0,0.0863,0.463,105.02,audio_features,3azJifCSqg9fRij2yKIbWz,spotify:track:3azJifCSqg9fRij2yKIbWz,https://api.spotify.com/v1/tracks/3azJifCSqg9fRij2yKIbWz,https://api.spotify.com/v1/audio-analysis/3azJifCSqg9fRij2yKIbWz,226467,4
2,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,audio_features,2BcMwX1MPV6ZHP4tUT9uq6,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,242966,4
3,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,audio_features,4h4QlmocP3IuwYEj2j14p8,spotify:track:4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/tracks/4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/audio-analysis/4h4QlmocP3IuwYEj2j14p8,163026,4
4,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,audio_features,65OVbaJR5O1RmwOQx0875b,spotify:track:65OVbaJR5O1RmwOQx0875b,https://api.spotify.com/v1/tracks/65OVbaJR5O1RmwOQx0875b,https://api.spotify.com/v1/audio-analysis/65OVbaJR5O1RmwOQx0875b,192956,4
5,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,audio_features,0T5iIrXA4p5GsubkhuBIKV,spotify:track:0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/tracks/0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/audio-analysis/0T5iIrXA4p5GsubkhuBIKV,177720,3
6,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,audio_features,69AIpwGNLxr4qS1X5ynx60,spotify:track:69AIpwGNLxr4qS1X5ynx60,https://api.spotify.com/v1/tracks/69AIpwGNLxr4qS1X5ynx60,https://api.spotify.com/v1/audio-analysis/69AIpwGNLxr4qS1X5ynx60,167480,4
7,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,audio_features,7EkWXAI1wn8Ii883ecd9xr,spotify:track:7EkWXAI1wn8Ii883ecd9xr,https://api.spotify.com/v1/tracks/7EkWXAI1wn8Ii883ecd9xr,https://api.spotify.com/v1/audio-analysis/7EkWXAI1wn8Ii883ecd9xr,147062,4
8,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,audio_features,4RVwu0g32PAqgUiJoXsdF8,spotify:track:4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/tracks/4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/audio-analysis/4RVwu0g32PAqgUiJoXsdF8,298899,3
9,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,audio_features,18vXApRmJSgQ6wG2ll9AOg,spotify:track:18vXApRmJSgQ6wG2ll9AOg,https://api.spotify.com/v1/tracks/18vXApRmJSgQ6wG2ll9AOg,https://api.spotify.com/v1/audio-analysis/18vXApRmJSgQ6wG2ll9AOg,165926,4
10,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,audio_features,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4
11,0.365,0.541,7,-7.489,1,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,audio_features,25VQoiuyc0HkC5FQTj1a8G,spotify:track:25VQoiuyc0HkC5FQTj1a8G,https://api.spotify.com/v1/tracks/25VQoiuyc0HkC5FQTj1a8G,https://api.spotify.com/v1/audio-analysis/25VQoiuyc0HkC5FQTj1a8G,232093,4
12,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,audio_features,3QFInJAm9eyaho5vBzxInN,spotify:track:3QFInJAm9eyaho5vBzxInN,https://api.spotify.com/v1/tracks/3QFInJAm9eyaho5vBzxInN,https://api.spotify.com/v1/audio-analysis/3QFInJAm9eyaho5vBzxInN,252262,4
13,0.68,0.696,5,-6.977,1,0.051,0.116,0.0,0.607,0.684,115.962,audio_features,3jHBgKdLCf46aP3HRI0WYv,spotify:track:3jHBgKdLCf46aP3HRI0WYv,https://api.spotify.com/v1/tracks/3jHBgKdLCf46aP3HRI0WYv,https://api.spotify.com/v1/audio-analysis/3jHBgKdLCf46aP3HRI0WYv,180743,4
14,0.62,0.869,6,-5.479,1,0.0462,0.615,0.0,0.131,0.597,126.019,audio_features,5OELUCYgOHKFAvCERnAvfS,spotify:track:5OELUCYgOHKFAvCERnAvfS,https://api.spotify.com/v1/tracks/5OELUCYgOHKFAvCERnAvfS,https://api.spotify.com/v1/audio-analysis/5OELUCYgOHKFAvCERnAvfS,216573,4
