,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
0,Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,84,4oUHIQIBe0LHzYfvXNW4QM,86,['contemporary country'],4511743
1,Tory Lanez,The Color Violet,3azJifCSqg9fRij2yKIbWz,87,2jku7tDXc6XoB6MO2hFuqg,82,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",4922203
2,Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,84,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69870890
3,Nicky Youre,Sunroof,4h4QlmocP3IuwYEj2j14p8,89,7qmpXeNz2ojlMl2EEfkeLs,73,['pop'],91566
4,Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,83,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69870890
5,Stephen Sanchez,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,89,5XKFrudbV4IiuE5WuTPRmT,79,"['gen z singer-songwriter', 'pop']",352185
6,Jordan Davis,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,80,77kULmXAQ6vWer7IIHdGzI,73,"['contemporary country', 'country', 'country road']",768429
7,Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr,86,1gl0S9pS0Zw0qfa14rDD3D,70,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",839570
8,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,87,6qqNVTkY8uBg9cP3Jd7DAH,89,"['art pop', 'electropop', 'pop']",73457018
9,Polo G,RAPSTAR,18vXApRmJSgQ6wG2ll9AOg,82,6AgTAQt8XS6jRWi4sX7w49,84,"['chicago rap', 'rap']",8775848
10,Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,87,1McMsnEElThX1knmY4oliG,84,['pop'],22659874
11,Jelly Roll,Son Of A Sinner,25VQoiuyc0HkC5FQTj1a8G,78,19k8AgwwTSxeaxkOuCQEJs,73,"['country rap', 'nashville hip hop', 'tennessee hip hop']",1669425
12,Baby Keem,family ties (with Kendrick Lamar),3QFInJAm9eyaho5vBzxInN,81,5SXuuuRpukkTvsLuUknva1,80,"['hip hop', 'rap']",1227688
13,AJR,World's Smallest Violin,3jHBgKdLCf46aP3HRI0WYv,77,6s22t5Y3prQHyaHWUN1R1C,76,['modern rock'],2696117
14,Morgan Wallen,More Than My Hometown,5OELUCYgOHKFAvCERnAvfS,78,4oUHIQIBe0LHzYfvXNW4QM,86,['contemporary country'],4511743
15,Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,87,1McMsnEElThX1knmY4oliG,84,['pop'],22659874
16,Morgan Wallen,Cover Me Up,0mKnuxVkPi5h0kuvZl44VM,78,4oUHIQIBe0LHzYfvXNW4QM,86,['contemporary country'],4511743
17,Morgan Wallen,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,78,4oUHIQIBe0LHzYfvXNW4QM,86,['contemporary country'],4511743
18,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,87,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",23496439
19,Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,86,1McMsnEElThX1knmY4oliG,84,['pop'],22659874
20,Olivia Rodrigo,favorite crime,5JCoSi02qi3jJeHdZXMmR8,85,1McMsnEElThX1knmY4oliG,84,['pop'],22659874
21,ame,raining for hours,3L1JHXiqNOJ57w3n2R3HyU,82,7htQnykNfk2Bu39bSw7owz,64,[],584
22,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,83,06HL4z0CvFAxyc27GXpf02,100,['pop'],64147283
23,The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,88,2tIP7SsRs7vjIcLrU85W8J,82,"['australian hip hop', 'pop']",4129625
24,Sleepy Hallow,2055,4XvcHTUfIlWfyJTRG0aqlo,82,6EPlBSH2RSiettczlz7ihV,78,"['brooklyn drill', 'nyc rap']",1188364
25,Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,83,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69870890
26,Baby Keem,16,1Is8hGpkGMiePASAxBluxM,79,5SXuuuRpukkTvsLuUknva1,80,"['hip hop', 'rap']",1227688
27,Kelly Clarkson,"Santa, Can’t You Hear Me",2O3MQ6H3gjrIWDcpeTrikT,81,3BmGtnKgCSGYIUhmivXKWX,82,"['dance pop', 'pop', 'post-teen pop', 'talent show']",9364884
28,Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,88,4q3ewBCX7sLwd24euuV69X,99,"['reggaeton', 'trap latino', 'urbano latino']",60927270
29,Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH,87,1McMsnEElThX1knmY4oliG,84,['pop'],22659874
30,Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,87,1uNFoZAHBGtllmzznpCI3s,91,"['canadian pop', 'pop']",68319853
31,Yeat,Monëy so big,7BbaIYAdi3pg4MGl6PHwPv,80,3qiHUAX7zY4Qnjx8TNUzVx,81,['pluggnb'],1499813
32,DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1EJIcDYXwSqipW5dFe4uJz,78,0QHgL1lAIqAw0HtD7YldmP,79,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",8844996
33,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,87,6eUKZXaKkcviH0Ku9w2n3V,91,"['pop', 'uk pop']",106350403
34,Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,83,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",23496439
35,SZA,I Hate U,5dXWFMwD7I7zXsInONVl0H,80,7tYKF4w9nC0nq9CsPZTHyP,93,"['pop', 'r&b']",9331709
36,The Rare Occasions,Notion,0sTlGEld0h8kIPZaKDYUf4,82,1QfpRUtH14JLoY6F6AYmwt,66,['la indie'],193369
37,Cochise,Tell Em,7nc7mlSdWYeFom84zZ8Wr8,80,46HzS7yz0c9udVwtbHk1sx,68,"['plugg', 'pluggnb', 'viral rap']",459018
38,Sleep Sleep Sleep,White Noise Waterfall,5WkRINJDHP7zdAo45F1bJb,82,1OqVbmth0QR4OXPVPmIEyi,65,['white noise'],735
39,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,81,5H6xmHXjsq98NLbEjuE29f,66,"['dance pop', 'edm', 'pop', 'pop dance', 'scandipop', 'tropical house']",138409
40,Morgan Wallen,7 Summers,4obHzpwGrjoTuZh2DItEMZ,75,4oUHIQIBe0LHzYfvXNW4QM,86,['contemporary country'],4511743
41,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,86,0GM7qgcRCORpGnfcN2tCiB,78,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",1127487
42,Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,86,7jVv8c5Fj3E9VhNjxT4snq,82,"['lgbtq+ hip hop', 'pop']",12142640
43,INTERWORLD,METAMORPHOSIS,2ksyzVfU0WJoBpu8otr4pz,87,5hKGLu4Ik88FzWcTPhWNTN,73,[],60697
44,J. Cole,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,78,6l3HvQ5sa6mXTsMTB19rO5,86,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",18626589
45,Baby Keem,family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,79,5SXuuuRpukkTvsLuUknva1,80,"['hip hop', 'rap']",1227688
46,Doja Cat,You Right,0k4d5YPDr1r7FX77VdqWez,83,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",23496439
47,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,87,6eUKZXaKkcviH0Ku9w2n3V,91,"['pop', 'uk pop']",106350403
48,Ivan Cornejo,Está Dañada,6G2xXQRSZlEzYsUEb3uvuR,77,6PH3FLQAxtqYy46Zv08bpV,78,['sad sierreno'],731582
49,Taylor Swift,Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,82,06HL4z0CvFAxyc27GXpf02,100,['pop'],64147283
50,Cody Johnson,'Til You Can't,4k3lPl8YTKuY8c1HelVnm3,75,6zLBxLdl60ekBLpawtT63I,74,"['contemporary country', 'country', 'country road', 'texas country']",762382
51,Carolina Gaitán - La Gaita,We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,79,29PgYEggDV3cDP9QYTogwv,63,[],47638
52,Mareux,The Perfect Girl,5RBOcBpJXaNnHCGViJmYhh,83,7riQPkkGZBnTh9ve5qIhYo,69,['dark synthpop'],154081
53,PinkPantheress,Pain,4S4QJfBGGrC8jRIjJHf1Ka,79,78rUTD7y6Cy67W1RVzYs7t,75,[],1420051
54,Kodak Black,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,76,46SHBwWsqBkxI7EeeBEQG7,82,"['florida drill', 'florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",8775908
55,Drake,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,79,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",69870890
56,Olivia Rodrigo,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,83,1McMsnEElThX1knmY4oliG,84,['pop'],22659874
57,Cafuné,Tek It,751srcHf5tUqcEa9pRCQwP,79,581C5Qwl87TskfBEzuoisu,68,['brooklyn indie'],126363
58,Doja Cat,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,82,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",23496439
59,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,85,7jVv8c5Fj3E9VhNjxT4snq,82,"['lgbtq+ hip hop', 'pop']",12142640
60,Morgan Wallen,This Bar,075qcpR3BnxD5CWUIx1HTr,75,4oUHIQIBe0LHzYfvXNW4QM,86,['contemporary country'],4511743
61,Doja Cat,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,80,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",23496439
62,Lil Tjay,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,81,6jGMq4yGs7aQzuGsMgVgZR,81,"['brooklyn drill', 'melodic rap', 'nyc rap']",5966577
63,Doja Cat,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,79,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",23496439
64,Olivia Rodrigo,happier,2tGvwE8GcFKwNdAXMnlbfl,85,1McMsnEElThX1knmY4oliG,84,['pop'],22659874
65,Marshmello,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,85,64KEffDW9EtZ1y2vBYgq8T,83,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",34619211
66,Bruno Mars,Leave The Door Open,02VBYrHfVwfEWXk5DXyf0T,84,0du5cEVh5yTK9QJze8zA0C,88,"['dance pop', 'pop']",44970653
67,J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,78,6l3HvQ5sa6mXTsMTB19rO5,86,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",18626589
68,Carly Pearce,What He Didn't Do,5OLaVCAM2pqg7X9mAM2W8M,75,4sIl4BTo9l9KqEi0Y3RE72,64,"['contemporary country', 'country', 'country road']",279574
69,Conner Smith,Take It Slow,3CC2sCo30DhwOwGI4NN30I,74,0y2FPygoi6LVc75pxCgsMk,60,"['contemporary country', 'country', 'country road']",27845
70,The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,87,2tIP7SsRs7vjIcLrU85W8J,82,"['australian hip hop', 'pop']",4129625
71,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),5B0kgjHULYJhAQkK5XsMoC,76,4V8LLVI7PbaPR0K2TGSxFF,85,"['hip hop', 'rap']",10097469
72,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,85,53XhwfbYqKCa1cC15pYq2q,89,"['modern rock', 'rock']",44098205
